Order ID,Order date,Product ID,Description,Category,CHEM,CHEM TECH,LAB ROOM,Shipment ID,Ship date actual,Shipment status,Tags,Core Queue
197298,2025-08-09,,,,,,,,,awaiting_shipment,PA,
211067,2025-11-25,MAGCHM-25KG,Magnesium Chloride Hexahydrate ACS/USP,Granular,3,,Yes,,,awaiting_shipment,"PA, Austin Warehouse, Split Order",Warehouse
000319724,2026-03-24,,,,,,,,,awaiting_shipment,B,
000323774,2026-04-01,,,,,,,,,awaiting_shipment,B,
000323837,2026-04-01,Multiple products,Multiple products,Acids,,,,,,awaiting_shipment,"PA, Austin Warehouse, Split Order, Restricted Combination - Nitric Acid",Warehouse
000324266,2026-04-02,,,,,,,,,awaiting_shipment,B,
000366210,2026-06-11,,,,,,,,,awaiting_shipment,"PA, Restricted Chemical",
000366789,2026-06-12,,,,,,,,,awaiting_shipment,"US, United Scientific",
000367389,2026-06-15,,,,,,,,,awaiting_shipment,,
000372180,2026-06-25,HCLS37-1L,"Hydrochloric Acid 37% Solution, Semiconductor Grade",Acids,4,,Yes,,,awaiting_shipment,"PA, Austin Warehouse, Split Order, US, Restricted Combination - Nitric Acid",Warehouse
000374367,2026-07-01,,,,,,,,,awaiting_shipment,"US, United Scientific",
000375768,2026-07-06,Multiple products,Multiple products,Granular,,,,,,awaiting_shipment,Austin Warehouse,Warehouse
000375792,2026-07-06,,,,,,,,,awaiting_shipment,PA,
000379704,2026-07-15,,,,,,,,,awaiting_shipment,PA,
000381594,2026-07-20,CAOXGL-25KG,"Calcium Oxide Powder, Lab Grade",Granular,3,,Yes,,,awaiting_shipment,Austin Warehouse,Warehouse
000383295,2026-07-23,,,,,,,,,awaiting_shipment,US,
000383553,2026-07-24,,,,,,,,,awaiting_shipment,"TR, Restricted Chemical",
000384855,2026-07-28,,,,,,,,,awaiting_shipment,"Split Order, B, US",
000372003-2,2026-07-28,,,,,,,,,awaiting_shipment,"PA, Restricted Chemical",
000385605,2026-07-29,CAOXGL-25KG,"Calcium Oxide Powder, Lab Grade",Granular,3,,Yes,,,awaiting_shipment,Austin Warehouse,Warehouse
000386640,2026-07-31,AAL99-5gal,Acetic Acid Glacial 99% Lab Grade,Acids,4,,Yes,,,awaiting_shipment,"PA, Austin Warehouse, Split Order",Warehouse
000387804,2026-08-04,EAD200-20L,"Denatured Ethanol 200 Proof, Kosher, Halal",Alcohols,1,,No,,,awaiting_shipment,"Austin Warehouse, Split Order, US, United Scientific",Warehouse
000388158,2026-08-05,,,,,,,,,awaiting_shipment,PA,
000388341,2026-08-05,,,,,,,,,awaiting_shipment,"TR, Restricted Chemical",
000388425,2026-08-05,,,,,,,,,awaiting_shipment,B,
000390899,2026-08-12,,,,,,,,,awaiting_shipment,PA,
000391181,2026-08-12,,,,,,,,,awaiting_shipment,"US, United Scientific",
000391703,2026-08-13,,,,,,,,,awaiting_shipment,"TR, Restricted Chemical",
000391763,2026-08-13,,,,,,,,,awaiting_shipment,"US, United Scientific",
000392090,2026-08-14,,,,,,,,,awaiting_shipment,"US, United Scientific",
000392264,2026-08-14,,,,,,,,,awaiting_shipment,B,
000392918,2026-08-17,,,,,,,,,awaiting_shipment,US,
000393146,2026-08-17,,,,,,,,,awaiting_shipment,US,
000394208,2026-08-19,HPL30-4L,"Hydrogen Peroxide 30% Solution, Lab Grade",Solutions,2,,No,,,awaiting_shipment,"Austin Warehouse, Split Order, US, Restricted Combination - Hydrogen Peroxide",Warehouse
000395189,2026-08-21,,,,,,,,,awaiting_shipment,US,
000397016,2026-08-26,,,,,,,,,awaiting_shipment,US,
000397619,2026-08-27,,,,,,,,,awaiting_shipment,US,
000397667,2026-08-28,POISL10-1L,"Potassium Iodide 10% Solution, Lab Grade",Solutions,Lab Tech,,Yes,653274179,2026-08-28,shipped,"PA, Austin Warehouse, Split Order, Roshan, Restricted Combination - Hydrogen Peroxide",Warehouse
000397721,2026-08-27,,,,,,,,,awaiting_shipment,B,
000397769,2026-08-27,,,,,,,,,awaiting_shipment,PA,
000398291,2026-08-28,,,,,,,,,awaiting_shipment,US,
000398294,2026-08-28,,,,,,,,,awaiting_shipment,US,
000400253,2026-09-02,,,,,,,,,awaiting_shipment,US,
000400409,2026-09-02,HPL30-1GAL,"Hydrogen Peroxide 30% Solution, Lab Grade",Solutions,2,,No,,,awaiting_shipment,"PA, Austin Warehouse, Split Order, Restricted Combination - Hydrogen Peroxide",Warehouse
000400745,2026-09-03,Multiple products,Multiple products,,,,,,,awaiting_shipment,"Austin Warehouse, LAB ALLEY LLC, Split Order, US",Warehouse
000400808,2026-09-03,,,,,,,,,awaiting_shipment,US,
000401081,2026-09-08,Multiple products,Multiple products,Other Chemicals,,,,655196789,2026-09-08,shipped,"Austin Warehouse, Split Order, US, United Scientific",Warehouse
000401186,2026-09-04,,,,,,,,,awaiting_shipment,B,
000401306,2026-09-04,,,,,,,,,awaiting_shipment,PA,
000401426,2026-09-04,,,,,,,,,awaiting_shipment,US,
000401867,2026-09-06,MCTOC-4L,"Organic MCT Oil, Kosher, Halal, USP/FCC",Other Chemicals,1,,No,,,awaiting_shipment,Austin Warehouse,Warehouse
000402011,2026-09-07,Multiple products,Multiple products,,,,,,,awaiting_shipment,Austin Warehouse,Warehouse
000402041,2026-09-07,,,,,,,,,awaiting_shipment,"US, United Scientific",
000402323,2026-09-11,SOHYDBL-1LB,Sodium Hydroxide Beads Lab Grade,Granular,3,,Yes,655769713,2026-09-11,shipped,Austin Warehouse,Warehouse
000402716,2026-09-09,PETHP-4L,Petroleum Ether High Purity Grade,Other Chemicals,2,,No,,,awaiting_shipment,"Austin Warehouse, Split Order, US, United Scientific",Warehouse
000402734,2026-09-09,POACGA-25KG,"Potassium Acetate, ACS Grade",Granular,3,,Yes,,,awaiting_shipment,Austin Warehouse,Warehouse
000403106,2026-09-09,Multiple products,Multiple products,Other Chemicals,,,,,,awaiting_shipment,"Austin Warehouse, Restricted Chemical",Warehouse
000403250,2026-09-09,NAA70-2.5L,"Nitric Acid 70%, ACS Reagent Grade",Acids,4,,Yes,,,awaiting_shipment,"Austin Warehouse, Restricted Combination - Nitric Acid",Warehouse
000403322,2026-09-10,PPMGA-12.5KG,"Potassium Phosphate Monobasic Crystal, ACS Grade",Granular,3,,Yes,,,awaiting_shipment,Austin Warehouse,Warehouse
000403415,2026-09-10,,,,,,,,,awaiting_shipment,US,
000403484,2026-09-10,FAL90-55GAL,"Formic Acid 90% Solution, Lab Grade",Acids,4,,Yes,,,awaiting_shipment,ATX Freight,Freight
000403493,2026-09-10,HCLL10-500ML,"Hydrochloric Acid 10% Solution, Lab Grade",Acids,4,,Yes,,,awaiting_shipment,"Austin Warehouse, Split Order, US, United Scientific",Warehouse
000403526,2026-09-10,,,,,,,,,awaiting_shipment,"US, United Scientific",
000403541,2026-09-10,EAS38B-13-P-190-55GAL,"Ethanol 190 Proof (95%) w/ Lavender Oil, Kosher, Halal (SDA 38B-13)",Alcohols,1,,Yes,,,awaiting_shipment,,
000403577,2026-09-10,PEG3350GU-25KG,"Polyethylene Glycol (PEG) 3350, Granular, USP Grade, Kosher",Granular,2,,Yes,,,awaiting_shipment,Austin Warehouse,Warehouse
000403589,2026-09-10,,,,,,,,,awaiting_shipment,US,
000403610,2026-09-10,,,,,,,,,awaiting_shipment,"PA, Poison Pack, Restricted Chemical",
000403637,2026-09-10,,,,,,,,,awaiting_shipment,US,
000403670,2026-09-10,NAL67-2.5L,"Nitric Acid 67% Solution, Lab/Technical Grade",Acids,4,,Yes,,,awaiting_shipment,"ATX Freight, Restricted Combination - Nitric Acid",Freight
000403769,2026-09-10,,,,,,,,,awaiting_shipment,US,
000403844,2026-09-11,Multiple products,Multiple products,,,,,,,awaiting_shipment,Austin Warehouse,Warehouse
